cloudflare,AS395747|AS394536|AS209242|AS203898|AS202623|AS14789|AS139242|AS133877|AS13335|AS132892
facebook,AS63293|AS54115|AS32934
fastly,AS54113|AS394192
google,AS6432|AS55023|AS45566|AS43515|AS41264|AS40873|AS396982|AS395973|AS394699|AS394639|AS394507|AS36987|AS36492|AS36385|AS36384|AS36040|AS36039|AS26910|AS26684|AS22859|AS22577|AS19527|AS19448|AS19425|AS16591|AS16550|AS15169|AS13949|AS139190|AS139070
netflix,AS55095|AS40027|AS394406|AS2906
telegram,AS62041|AS62014|AS59930|AS44907|AS211157
twitter,AS8945|AS63179|AS54888|AS35995|AS13414
cmcc,|AS9808|AS9394|AS56048|AS56040|AS56041|AS56042|AS56044|AS56046|AS56047|AS24400|AS24444|AS24445|AS24547|AS141425|ASN58807|AS24059|AS45120|AS24311 
cuc,|AS4837|AS9929|AS4808|AS7641|AS17816|AS17621|AS17622|AS17962|AS17623|AS24138|AS24139|AS38370|AS133119|AS136958|AS134543|AS135061|AS136959
ctc,|AS4134|AS4809|AS4812|AS4847|AS23724|AS4835|AS134773|AS136200|AS58466|AS134772|AS134774|AS134763|AS134764
